condition,eval_domain,subset,contrast,n_tasks,estimate,ci_low,ci_high,replicates,population_key,replicate_array,units
original_bare,k1_8,all,rts_learned_minus_raw_sequence_correct,79,-0.02531645569620253,-0.06329113924050633,0.0,5000,p_ae2b966a2399,original_bare_k1_8_all,proportion
original_bare,k1_8,all,rts_raw_minus_learned_errors,79,-0.06329113924050633,-0.17721518987341772,0.05063291139240506,5000,p_ae2b966a2399,original_bare_k1_8_all,errors_per_task
original_bare,k1_8,all,rts_learned_minus_oracle_errors,79,1.4936708860759493,0.9493670886075949,2.1012658227848102,5000,p_ae2b966a2399,original_bare_k1_8_all,errors_per_task
original_bare,k1_8,all,rts_minus_immediate_learned_accuracy,79,0.020569620253164556,-0.03955696202531646,0.08069620253164557,5000,p_ae2b966a2399,original_bare_k1_8_all,proportion
original_bare,k1_8,all,rts_minus_immediate_oracle_minimum_errors,79,0.189873417721519,0.06329113924050633,0.3291139240506329,5000,p_ae2b966a2399,original_bare_k1_8_all,errors_per_task
original_bare,k1_8,partial,immediate_learned_minus_raw_accuracy,23,-0.02717391304347826,-0.07608695652173914,0.0,5000,p_4ef38ea9f428,original_bare_k1_8_partial,proportion
original_bare,k1_8,partial,immediate_learned_minus_raw_sequence_correct,23,0.0,0.0,0.0,5000,p_4ef38ea9f428,original_bare_k1_8_partial,proportion
original_bare,k1_8,partial,immediate_raw_minus_learned_errors,23,-0.21739130434782608,-0.6086956521739131,0.0,5000,p_4ef38ea9f428,original_bare_k1_8_partial,errors_per_task
original_bare,k1_8,partial,immediate_learned_minus_oracle_errors,23,3.0,2.0,4.0,5000,p_4ef38ea9f428,original_bare_k1_8_partial,errors_per_task
original_bare,k1_8,partial,rts_learned_minus_raw_accuracy,23,-0.005434782608695652,-0.04891304347826087,0.03260869565217391,5000,p_4ef38ea9f428,original_bare_k1_8_partial,proportion
original_bare,k1_8,partial,rts_learned_minus_raw_sequence_correct,23,0.0,0.0,0.0,5000,p_4ef38ea9f428,original_bare_k1_8_partial,proportion
original_bare,k1_8,partial,rts_raw_minus_learned_errors,23,-0.043478260869565216,-0.391304347826087,0.2608695652173913,5000,p_4ef38ea9f428,original_bare_k1_8_partial,errors_per_task
original_bare,k1_8,partial,rts_learned_minus_oracle_errors,23,1.3043478260869565,0.6086956521739131,2.0869565217391304,5000,p_4ef38ea9f428,original_bare_k1_8_partial,errors_per_task
original_bare,k1_8,partial,rts_minus_immediate_learned_accuracy,23,0.1358695652173913,0.04891304347826087,0.21739130434782608,5000,p_4ef38ea9f428,original_bare_k1_8_partial,proportion
original_bare,k1_8,partial,rts_minus_immediate_oracle_minimum_errors,23,0.6521739130434783,0.2608695652173913,1.0434782608695652,5000,p_4ef38ea9f428,original_bare_k1_8_partial,errors_per_task
original_union,k0_8,all,immediate_learned_minus_raw_accuracy,79,-0.004219409282700421,-0.0140646976090014,0.004219409282700423,5000,p_ae2b966a2399,original_union_k0_8_all,proportion
original_union,k0_8,all,immediate_learned_minus_raw_sequence_correct,79,0.0,0.0,0.0,5000,p_ae2b966a2399,original_union_k0_8_all,proportion
original_union,k0_8,all,immediate_raw_minus_learned_errors,79,-0.0379746835443038,-0.12658227848101267,0.0379746835443038,5000,p_ae2b966a2399,original_union_k0_8_all,errors_per_task
original_union,k0_8,all,immediate_learned_minus_oracle_errors,79,1.9240506329113924,1.3417721518987342,2.5443037974683542,5000,p_ae2b966a2399,original_union_k0_8_all,errors_per_task
original_union,k0_8,all,rts_learned_minus_raw_accuracy,79,0.008438818565400845,-0.0070323488045007,0.025316455696202524,5000,p_ae2b966a2399,original_union_k0_8_all,proportion
original_union,k0_8,all,rts_learned_minus_raw_sequence_correct,79,0.02531645569620253,0.0,0.06329113924050633,5000,p_ae2b966a2399,original_union_k0_8_all,proportion
original_union,k0_8,all,rts_raw_minus_learned_errors,79,0.0759493670886076,-0.06329113924050633,0.22784810126582278,5000,p_ae2b966a2399,original_union_k0_8_all,errors_per_task
original_union,k0_8,all,rts_learned_minus_oracle_errors,79,1.3037974683544304,0.8354430379746836,1.8354430379746836,5000,p_ae2b966a2399,original_union_k0_8_all,errors_per_task
original_union,k0_8,all,rts_minus_immediate_learned_accuracy,79,0.06047819971870605,0.004219409282700432,0.11814345991561177,5000,p_ae2b966a2399,original_union_k0_8_all,proportion
original_union,k0_8,all,rts_minus_immediate_oracle_minimum_errors,79,0.0759493670886076,-0.0759493670886076,0.24050632911392406,5000,p_ae2b966a2399,original_union_k0_8_all,errors_per_task
original_union_versus_primary_same_tasks,k0_8,all,immediate_raw_sensitivity_minus_primary_accuracy,79,0.0014064697609001407,-0.005625879043600561,0.009845288326300982,5000,p_ae2b966a2399,original_union_versus_primary_all,proportion
original_union_versus_primary_same_tasks,k0_8,all,immediate_learned_sensitivity_minus_primary_accuracy,79,0.007032348804500704,-0.007032348804500704,0.02535161744022453,5000,p_ae2b966a2399,original_union_versus_primary_all,proportion
original_union_versus_primary_same_tasks,k0_8,all,immediate_oracle_sensitivity_minus_primary_accuracy,79,0.0,0.0,0.0,5000,p_ae2b966a2399,original_union_versus_primary_all,proportion
original_union_versus_primary_same_tasks,k0_8,all,rts_raw_sensitivity_minus_primary_accuracy,79,0.0,0.0,0.0,5000,p_ae2b966a2399,original_union_versus_primary_all,proportion
original_union_versus_primary_same_tasks,k0_8,all,rts_learned_sensitivity_minus_primary_accuracy,79,0.0,0.0,0.0,5000,p_ae2b966a2399,original_union_versus_primary_all,proportion
original_union_versus_primary_same_tasks,k0_8,all,rts_oracle_sensitivity_minus_primary_accuracy,79,0.0,0.0,0.0,5000,p_ae2b966a2399,original_union_versus_primary_all,proportion
original_union,k0_8,partial,immediate_learned_minus_raw_accuracy,23,-0.019323671497584537,-0.04830917874396135,0.004830917874396142,5000,p_4ef38ea9f428,original_union_k0_8_partial,proportion
original_union,k0_8,partial,immediate_learned_minus_raw_sequence_correct,23,0.0,0.0,0.0,5000,p_4ef38ea9f428,original_union_k0_8_partial,proportion
original_union,k0_8,partial,immediate_raw_minus_learned_errors,23,-0.17391304347826086,-0.43478260869565216,0.043478260869565216,5000,p_4ef38ea9f428,original_union_k0_8_partial,errors_per_task
original_union,k0_8,partial,immediate_learned_minus_oracle_errors,23,3.0869565217391304,2.0869565217391304,4.086956521739131,5000,p_4ef38ea9f428,original_union_k0_8_partial,errors_per_task
original_union,k0_8,partial,rts_learned_minus_raw_accuracy,23,0.01449275362318841,-0.033816425120772944,0.05797101449275364,5000,p_4ef38ea9f428,original_union_k0_8_partial,proportion
original_union,k0_8,partial,rts_learned_minus_raw_sequence_correct,23,0.0,0.0,0.0,5000,p_4ef38ea9f428,original_union_k0_8_partial,proportion
original_union,k0_8,partial,rts_raw_minus_learned_errors,23,0.13043478260869565,-0.30434782608695654,0.5217391304347826,5000,p_4ef38ea9f428,original_union_k0_8_partial,errors_per_task
original_union,k0_8,partial,rts_learned_minus_oracle_errors,23,1.1304347826086956,0.5217391304347826,1.7826086956521738,5000,p_4ef38ea9f428,original_union_k0_8_partial,errors_per_task
original_union,k0_8,partial,rts_minus_immediate_learned_accuracy,23,0.1594202898550725,0.07246376811594202,0.251207729468599,5000,p_4ef38ea9f428,original_union_k0_8_partial,proportion
original_union,k0_8,partial,rts_minus_immediate_oracle_minimum_errors,23,0.5217391304347826,0.08695652173913043,0.9565217391304348,5000,p_4ef38ea9f428,original_union_k0_8_partial,errors_per_task
original_union_versus_primary_same_tasks,k0_8,partial,immediate_raw_sensitivity_minus_primary_accuracy,23,0.00966183574879227,-0.009661835748792265,0.033816425120772944,5000,p_4ef38ea9f428,original_union_versus_primary_partial,proportion
original_union_versus_primary_same_tasks,k0_8,partial,immediate_learned_sensitivity_minus_primary_accuracy,23,0.014492753623188408,-0.02898550724637681,0.07246376811594203,5000,p_4ef38ea9f428,original_union_versus_primary_partial,proportion
original_union_versus_primary_same_tasks,k0_8,partial,immediate_oracle_sensitivity_minus_primary_accuracy,23,0.0,0.0,0.0,5000,p_4ef38ea9f428,original_union_versus_primary_partial,proportion
original_union_versus_primary_same_tasks,k0_8,partial,rts_raw_sensitivity_minus_primary_accuracy,23,0.0,0.0,0.0,5000,p_4ef38ea9f428,original_union_versus_primary_partial,proportion
original_union_versus_primary_same_tasks,k0_8,partial,rts_learned_sensitivity_minus_primary_accuracy,23,0.0,0.0,0.0,5000,p_4ef38ea9f428,original_union_versus_primary_partial,proportion
original_union_versus_primary_same_tasks,k0_8,partial,rts_oracle_sensitivity_minus_primary_accuracy,23,0.0,0.0,0.0,5000,p_4ef38ea9f428,original_union_versus_primary_partial,proportion
