contrast,subset,metric,n_paired,delta_right_minus_left,lo95,hi95,seed,replicates,method
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / whitespace_union,partial,TCE,23,-0.2608695652173913,-1.3043478260869565,0.73913043478260865,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / whitespace_union,partial,TRR,23,0.21739130434782608,0,0.47826086956521741,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / google/gemma-2-9b-it / whitespace_union,partial,FSRR,23,0.13043478260869565,-0.043478260869565216,0.30434782608695654,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / bare,all,accuracy,80,-0.024999999999999988,-0.11944444444444442,0.073611111111111113,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / bare,all,TCE,80,-0.5625,-1.7124999999999999,0.5625,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / bare,all,TRR,80,0.51249999999999996,0.40000000000000002,0.625,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / bare,all,FSRR,80,0.45000000000000001,0.33750000000000002,0.5625,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / bare,nontrivial,accuracy,54,-0.045267489711934145,-0.16049382716049382,0.067901234567901245,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / bare,nontrivial,TCE,54,0.90740740740740744,-0.24074074074074073,2.0555555555555554,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / bare,nontrivial,TRR,54,0.7592592592592593,0.64814814814814814,0.87037037037037035,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / bare,nontrivial,FSRR,54,0.66666666666666663,0.53703703703703709,0.79629629629629628,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / bare,partial,accuracy,23,0.24637681159420291,0.14492753623188406,0.35265700483091783,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / bare,partial,TCE,23,-2.6086956521739131,-3.7391304347826089,-1.4347826086956521,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / bare,partial,TRR,23,0.43478260869565216,0.2608695652173913,0.65217391304347827,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / bare,partial,FSRR,23,0.2608695652173913,0.086956521739130432,0.43478260869565216,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / whitespace_union,all,accuracy,80,-0.011111111111111096,-0.10972222222222221,0.091666666666666674,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / whitespace_union,all,TCE,80,-0.90000000000000002,-1.9624999999999999,0.11281249999999546,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / whitespace_union,all,TRR,80,0.53749999999999998,0.42499999999999999,0.65000000000000002,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / whitespace_union,all,FSRR,80,0.46250000000000002,0.34999999999999998,0.57499999999999996,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / whitespace_union,nontrivial,accuracy,54,-0.0061728395061728236,-0.12139917695473247,0.10493827160493829,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / whitespace_union,nontrivial,TCE,54,0.53703703703703709,-0.51851851851851849,1.6296296296296295,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / whitespace_union,nontrivial,TRR,54,0.79629629629629628,0.68518518518518523,0.88935185185184507,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / whitespace_union,nontrivial,FSRR,54,0.68518518518518523,0.55555555555555558,0.79629629629629628,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / whitespace_union,partial,accuracy,23,0.2560386473429952,0.16425120772946861,0.34782608695652184,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / whitespace_union,partial,TCE,23,-2.5652173913043477,-3.6956521739130435,-1.4347826086956521,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / whitespace_union,partial,TRR,23,0.52173913043478259,0.30434782608695654,0.73913043478260865,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / meta-llama/Llama-3.1-8B-Instruct / whitespace_union,partial,FSRR,23,0.30434782608695654,0.13043478260869565,0.52173913043478259,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / mistralai/Mistral-7B-Instruct-v0.3 / bare,all,accuracy,80,0.08611111111111111,0.045833333333333337,0.125,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / mistralai/Mistral-7B-Instruct-v0.3 / bare,all,TCE,80,-0.72499999999999998,-2.1749999999999998,0.75,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / mistralai/Mistral-7B-Instruct-v0.3 / bare,all,TRR,80,0.13750000000000001,0.074999999999999997,0.21249999999999999,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / mistralai/Mistral-7B-Instruct-v0.3 / bare,all,FSRR,80,0.074999999999999997,0.025000000000000001,0.13750000000000001,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / mistralai/Mistral-7B-Instruct-v0.3 / bare,nontrivial,accuracy,54,0.072016460905349799,0.01646090534979423,0.12962962962962962,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / mistralai/Mistral-7B-Instruct-v0.3 / bare,nontrivial,TCE,54,2.6666666666666665,1.2407407407407407,4,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / mistralai/Mistral-7B-Instruct-v0.3 / bare,nontrivial,TRR,54,0.20370370370370369,0.1111111111111111,0.31481481481481483,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / mistralai/Mistral-7B-Instruct-v0.3 / bare,nontrivial,FSRR,54,0.1111111111111111,0.037037037037037035,0.20370370370370369,20260911,5000,post-hoc paired task-cluster percentile
CODE explicit minus original / original_8k_old_scorer / mistralai/Mistral-7B-Instruct-v0.3 / bare,partial,accuracy,23,0.19323671497584538,0.12560386473429949,0.27053140096618344,20260911,5000,post-hoc paired task-cluster percentile
